label,R,G,B,description
0,255,162,143,Background
1,255,0,0,
2,0,255,0,UR8/LL8
3,0,0,255,UR7/LL7
4,255,255,0,UR6/LL6
5,0,255,255,UR5/LL5
6,255,0,255,UR4/LL4
7,128,0,0,UR3/LL3
8,0,128,0,UR2/LL2
9,0,0,128,UR1/LL1
10,128,128,0,UL1/LR1
11,0,128,128,UL2/LR2
12,128,0,128,UL3/LR3
13,255,128,0,UL4/LR4
14,0,255,128,UL5/LR5
15,128,0,255,UL6/LR6
16,255,0,128,UL7/LR7
17,0,128,255,UL8/LR8
18,128,255,0,URE/LLE
19,192,192,192,URD/LLD
20,128,128,128,URC/LLC
21,255,192,203,URB/LLB
22,255,165,0,URA/LLA
23,0,191,255,ULA/LRA
24,173,255,47,ULB/LRB
25,72,61,139,ULC/LRC
26,255,99,71,ULD/LRD
27,60,179,113,ULE/LRE
28,123,104,238,
29,245,222,179,
30,70,130,180,
31,199,21,133,
32,255,215,0,
33,22,22,22,
34,222,222,222,
